OID_,CID,name,POINT_X,POINT_Y
210,52,sch1268,-68.03248783,44.335099162000063
211,52,sch1109,-68.03261001,44.335160483000038
212,52,sch1235,-68.03278592,44.335202327000047
213,52,sch980,-68.03265755,44.333640551000030
214,52,sch1009,-68.03251902,44.333661285000062
215,52,sch1308,-68.03216276,44.333714377000035
216,52,sch1001,-68.03182802,44.333704553000075
217,52,sch1055,-68.03151418,44.333856566000065
218,52,sch1122,-68.03119861,44.334022399000048
219,52,sch935,-68.03147764,44.334023934000072
220,52,sch1314,-68.03171097,44.334350486000062
221,52,sch1297,-68.03143461,44.334363152000037
222,52,sch1039,-68.03108223,44.334692236000080
223,52,sch1120,-68.03121807,44.334799700000076
224,52,sch1146,-68.03131866,44.334855170000026
225,52,sch1155,-68.03166886,44.334802560000071
226,52,sch762,-68.03186467,44.335007408000081
227,52,sch1261,-68.03221799,44.334968657000047
228,52,sch1268,-68.03248783,44.335099162000063
229,52,sch1109,-68.03261001,44.335160483000038
230,52,sch1235,-68.03278592,44.335202327000047
231,52,sch749,-68.03278212,44.333596588000034
232,52,sch980,-68.03265755,44.333640551000030
233,52,sch1009,-68.03251902,44.333661285000062
234,52,sch1308,-68.03216276,44.333714377000035
235,52,sch1001,-68.03182802,44.333704553000075
236,52,sch1055,-68.03151418,44.333856566000065
237,52,sch1122,-68.03119861,44.334022399000048
238,52,sch935,-68.03147764,44.334023934000072
239,52,sch1314,-68.03171097,44.334350486000062
240,52,sch1297,-68.03143461,44.334363152000037
241,52,sch1039,-68.03108223,44.334692236000080
242,52,sch1120,-68.03121807,44.334799700000076
243,52,sch1146,-68.03131866,44.334855170000026
244,52,sch1155,-68.03166886,44.334802560000071
245,52,sch762,-68.03186467,44.335007408000081
246,52,sch1261,-68.03221799,44.334968657000047
247,52,sch1268,-68.03248783,44.335099162000063
248,52,sch1109,-68.03261001,44.335160483000038
249,52,sch1235,-68.03278592,44.335202327000047
250,52,sch943,-68.03310875,44.333576434000065
251,52,sch749,-68.03278212,44.333596588000034
252,52,sch980,-68.03265755,44.333640551000030
253,52,sch1009,-68.03251902,44.333661285000062
254,52,sch1308,-68.03216276,44.333714377000035
255,52,sch1001,-68.03182802,44.333704553000075
256,52,sch1055,-68.03151418,44.333856566000065
257,52,sch1122,-68.03119861,44.334022399000048
258,52,sch935,-68.03147764,44.334023934000072
